QUERY_GID,QUERY_XID,DOMAIN_GID,NAME,TARGET_OBJECT_TYPE,SQL_TEXT
NWL.ACTIVE_SHIPMENTS,ACTIVE_SHIPMENTS,NWL,Active Shipments,SHIPMENT,"SELECT * FROM SHIPMENT WHERE STATUS = 'ACTIVE'"
NWL.PENDING_INVOICES,PENDING_INVOICES,NWL,Pending Invoices,INVOICE,"SELECT * FROM INVOICE WHERE STATUS = 'PENDING'"
NWL.OVERDUE_ORDERS,OVERDUE_ORDERS,NWL,Overdue Orders,ORDER_RELEASE,"SELECT * FROM ORDER_RELEASE WHERE PROMISE_DATE < SYSDATE AND STATUS != 'COMPLETED'"
NWL.HIGH_VALUE_SHIPMENTS,HIGH_VALUE_SHIPMENTS,NWL,High Value Shipments,SHIPMENT,"SELECT * FROM SHIPMENT WHERE TOTAL_CHARGE > 10000"
NWL.CARRIER_PERFORMANCE,CARRIER_PERFORMANCE,NWL,Carrier Performance Score,SHIPMENT,"SELECT CARRIER_GID, AVG(ON_TIME_PCT) FROM SHIPMENT GROUP BY CARRIER_GID"
NWL.COMPLIANCE_VIOLATIONS,COMPLIANCE_VIOLATIONS,NWL,Compliance Violations,SHIPMENT,"SELECT * FROM SHIPMENT WHERE COMPLIANCE_STATUS = 'VIOLATION'"
NWL.CAPACITY_UTILIZATION,CAPACITY_UTILIZATION,NWL,Capacity Utilization,SHIPMENT,"SELECT DOMAIN_GID, COUNT(*) FROM SHIPMENT WHERE STATUS = 'ACTIVE' GROUP BY DOMAIN_GID"
NWL.FUEL_COST_TREND,FUEL_COST_TREND,NWL,Fuel Cost Trend,SHIPMENT,"SELECT TRUNC(SHIP_DATE,'MONTH'), AVG(FUEL_CHARGE) FROM SHIPMENT GROUP BY TRUNC(SHIP_DATE,'MONTH')"
NWL.CUSTOMER_DELIVERY_PERF,CUSTOMER_DELIVERY_PERF,NWL,Customer Delivery Performance,SHIPMENT,"SELECT CONSIGNEE_GID, AVG(ACTUAL_ETA - PROMISED_ETA) FROM SHIPMENT GROUP BY CONSIGNEE_GID"
NWL.EQUIPMENT_DOWNTIME,EQUIPMENT_DOWNTIME,NWL,Equipment Downtime,SHIPMENT,"SELECT EQUIPMENT_GID, SUM(DOWNTIME_HOURS) FROM SHIPMENT_EVENT WHERE EVENT_TYPE = 'MAINTENANCE' GROUP BY EQUIPMENT_GID"
