AGENT_GID,SEQ_NO,ACTION_TYPE,PARAMETERS,RAW_TEXT
NWL.AUTO_TENDER_CARRIER,1,ASSIGN_CARRIER,"{""carrier_type"":""PREFERRED""}",ASSIGN_CARRIER to preferred carrier
NWL.AUTO_TENDER_CARRIER,2,SEND_NOTIFICATION,"{""recipient"":""CARRIER""}",SEND_NOTIFICATION to carrier
NWL.AI_RATE_OPTIMIZER,1,AI_CALCULATE_RATE,"{""model"":""oracle_ml_v2""}",AI_CALCULATE_RATE using Oracle ML model
NWL.AI_RATE_OPTIMIZER,2,UPDATE_STATUS,"{""status"":""RATED""}",UPDATE_STATUS to RATED
NWL.CUSTOM_RATE_CALC,1,CALCULATE_RATE,"{""rate_type"":""STANDARD""}",CALCULATE_RATE for shipment
NWL.SHIPMENT_ANOMALY_AI,1,AI_DETECT_ANOMALY,"{""threshold"":0.85}",AI_DETECT_ANOMALY with 85% confidence
NWL.TENDER_DISPATCH,1,DISPATCH_TENDER,"{""method"":""EDI""}",DISPATCH_TENDER via EDI
NWL.TENDER_DISPATCH,2,UPDATE_STATUS,"{""status"":""TENDERED""}",UPDATE_STATUS to TENDERED
NWL.PREDICTIVE_ETA_AI,1,AI_PREDICT_ETA,"{""model"":""traffic_v3""}",AI_PREDICT_ETA using traffic model
NWL.INVOICE_MATCH,1,MATCH_INVOICE,"{""tolerance"":0.01}",MATCH_INVOICE within 1% tolerance
NWL.INVOICE_MATCH,2,CREATE_VARIANCE,"{""auto_approve"":false}",CREATE_VARIANCE for mismatches
NWL.PAYMENT_RELEASE,1,RELEASE_PAYMENT,"{""method"":""ACH""}",RELEASE_PAYMENT via ACH
NWL.WAREHOUSE_RECEIVE,1,UPDATE_INVENTORY,"{""location"":""WH01""}",UPDATE_INVENTORY at warehouse WH01
NWL.DOCK_SCHEDULE,1,SCHEDULE_DOCK,"{""dock_type"":""LOADING""}",SCHEDULE_DOCK for loading
NWL.ORDER_VALIDATE,1,VALIDATE_ORDER,"{""check_inventory"":true}",VALIDATE_ORDER with inventory check
NWL.ORDER_VALIDATE,2,CHECK_CREDIT,"{""credit_limit"":50000}",CHECK_CREDIT against $50K limit
NWL.ORDER_ALLOCATE,1,ALLOCATE_INVENTORY,"{""priority"":""FIFO""}",ALLOCATE_INVENTORY using FIFO
NWL.SHIPMENT_PLAN,1,BUILD_SHIPMENT,"{""optimize"":true}",BUILD_SHIPMENT with optimization
NWL.SHIPMENT_PLAN,2,ASSIGN_EQUIPMENT,"{""type"":""DRY_VAN""}",ASSIGN_EQUIPMENT dry van
NWL.RATE_AUDIT,1,AUDIT_RATE,"{""benchmark"":""MARKET""}",AUDIT_RATE against market benchmark
NWL.RATE_AUDIT,2,FLAG_VARIANCE,"{""threshold"":0.05}",FLAG_VARIANCE over 5%
NWL.COMPLIANCE_CHECK,1,CHECK_HAZMAT,"{""class"":""ALL""}",CHECK_HAZMAT all classes
NWL.COMPLIANCE_CHECK,2,VERIFY_LICENSE,"{""type"":""CARRIER""}",VERIFY_LICENSE for carrier
NWL.CARRIER_PERFORMANCE,1,SCORE_CARRIER,"{""metrics"":""ALL""}",SCORE_CARRIER on all metrics
NWL.CARRIER_PERFORMANCE,2,UPDATE_RATING,"{""period"":""QUARTERLY""}",UPDATE_RATING quarterly
NWL.CUSTOMS_DECLARATION,1,GENERATE_DECLARATION,"{""type"":""EXPORT""}",GENERATE_DECLARATION for export
NWL.CUSTOMS_DECLARATION,2,SUBMIT_CUSTOMS,"{""authority"":""CBP""}",SUBMIT_CUSTOMS to CBP
NWL.TRADE_COMPLIANCE,1,SCREEN_SANCTIONS,"{""lists"":""ALL""}",SCREEN_SANCTIONS all lists
NWL.TRADE_COMPLIANCE,2,CHECK_LICENSE,"{""type"":""EXPORT""}",CHECK_LICENSE for export
NWL.BILLING_GENERATE,1,CALCULATE_CHARGES,"{""detail"":""LINE_ITEM""}",CALCULATE_CHARGES line item
NWL.BILLING_GENERATE,2,GENERATE_INVOICE,"{""format"":""PDF""}",GENERATE_INVOICE as PDF
NWL.CASH_APPLY,1,MATCH_PAYMENT,"{""auto"":true}",MATCH_PAYMENT automatically
NWL.CASH_APPLY,2,APPLY_CASH,"{""prorate"":false}",APPLY_CASH without proration
NWL.DWELL_PREDICTION,1,PREDICT_DWELL,"{""model"":""LSTM""}",PREDICT_DWELL using LSTM
NWL.DWELL_PREDICTION,2,ALERT_EXCEPTION,"{""threshold"":24}",ALERT_EXCEPTION over 24h dwell
NWL.EQUIPMENT_MAINT,1,SCHEDULE_MAINT,"{""interval"":10000}",SCHEDULE_MAINT every 10K miles
NWL.EQUIPMENT_MAINT,2,UPDATE_MILEAGE,"{""source"":""GPS""}",UPDATE_MILEAGE from GPS
NWL.FUEL_SURCHARGE,1,CALC_FUEL,"{""index"":""DOE""}",CALC_FUEL using DOE index
NWL.FUEL_SURCHARGE,2,ADJUST_RATE,"{""method"":""PERCENTAGE""}",ADJUST_RATE by percentage
NWL.DOCUMENT_GENERATE,1,GENERATE_BOL,"{""format"":""STANDARD""}",GENERATE_BOL standard format
NWL.DOCUMENT_GENERATE,2,GENERATE_LABELS,"{""type"":""SHIPPING""}",GENERATE_LABELS shipping
NWL.STATUS_UPDATE,1,UPDATE_TRACKING,"{""source"":""EDI""}",UPDATE_TRACKING from EDI
NWL.STATUS_UPDATE,2,NOTIFY_CUSTOMER,"{""channel"":""EMAIL""}",NOTIFY_CUSTOMER via email
NWL.CAPACITY_CHECK,1,CHECK_CAPACITY,"{""horizon"":7}",CHECK_CAPACITY 7-day horizon
NWL.CAPACITY_CHECK,2,FLAG_CONSTRAINT,"{""severity"":""WARNING""}",FLAG_CONSTRAINT as warning
NWL.ETA_CALCULATE,1,CALC_ETA,"{""model"":""TRAFFIC""}",CALC_ETA using traffic model
NWL.ETA_CALCULATE,2,UPDATE_CUSTOMER,"{""method"":""SMS""}",UPDATE_CUSTOMER via SMS
